--> init proposta de aula | dia: 1 | intervalo: 0 | diario: diario:1_1
--> init proposta de aula | dia: 1 | intervalo: 1 | diario: diario:1_1
--> init proposta de aula | dia: 1 | intervalo: 2 | diario: diario:1_1
--> init proposta de aula | dia: 1 | intervalo: 3 | diario: diario:1_1
--> init proposta de aula | dia: 1 | intervalo: 4 | diario: diario:1_1
--> init proposta de aula | dia: 2 | intervalo: 0 | diario: diario:1_3
--> init proposta de aula | dia: 2 | intervalo: 0 | diario: diario:1_1
--> init proposta de aula | dia: 2 | intervalo: 0 | diario: diario:1_2
--> init proposta de aula | dia: 2 | intervalo: 0 | diario: diario:2_1
--> init proposta de aula | dia: 2 | intervalo: 0 | diario: diario:2_3
--> init proposta de aula | dia: 2 | intervalo: 0 | diario: diario:2_2
--> init proposta de aula | dia: 2 | intervalo: 1 | diario: diario:1_3
--> init proposta de aula | dia: 2 | intervalo: 1 | diario: diario:1_1
--> init proposta de aula | dia: 2 | intervalo: 1 | diario: diario:1_2
--> init proposta de aula | dia: 2 | intervalo: 1 | diario: diario:2_1
--> init proposta de aula | dia: 2 | intervalo: 1 | diario: diario:2_3
--> init proposta de aula | dia: 2 | intervalo: 1 | diario: diario:2_2
--> init proposta de aula | dia: 2 | intervalo: 2 | diario: diario:1_3
--> init proposta de aula | dia: 2 | intervalo: 2 | diario: diario:1_1
--> init proposta de aula | dia: 2 | intervalo: 2 | diario: diario:1_2
--> init proposta de aula | dia: 2 | intervalo: 2 | diario: diario:2_1
--> init proposta de aula | dia: 2 | intervalo: 2 | diario: diario:2_3
--> init proposta de aula | dia: 2 | intervalo: 2 | diario: diario:2_2
--> init proposta de aula | dia: 2 | intervalo: 3 | diario: diario:1_3
--> init proposta de aula | dia: 2 | intervalo: 3 | diario: diario:1_1
--> init proposta de aula | dia: 2 | intervalo: 3 | diario: diario:1_2
--> init proposta de aula | dia: 2 | intervalo: 3 | diario: diario:2_1
--> init proposta de aula | dia: 2 | intervalo: 3 | diario: diario:2_3
--> init proposta de aula | dia: 2 | intervalo: 3 | diario: diario:2_2
--> init proposta de aula | dia: 2 | intervalo: 4 | diario: diario:1_3
--> init proposta de aula | dia: 2 | intervalo: 4 | diario: diario:1_1
--> init proposta de aula | dia: 2 | intervalo: 4 | diario: diario:1_2
--> init proposta de aula | dia: 2 | intervalo: 4 | diario: diario:2_1
--> init proposta de aula | dia: 2 | intervalo: 4 | diario: diario:2_3
--> init proposta de aula | dia: 2 | intervalo: 4 | diario: diario:2_2
--> init proposta de aula | dia: 3 | intervalo: 0 | diario: diario:1_3
--> init proposta de aula | dia: 3 | intervalo: 0 | diario: diario:1_1
--> init proposta de aula | dia: 3 | intervalo: 0 | diario: diario:1_2
--> init proposta de aula | dia: 3 | intervalo: 0 | diario: diario:2_1
--> init proposta de aula | dia: 3 | intervalo: 0 | diario: diario:2_3
